epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,9021.19,1.20359,0.63482,1.04897,0.85612,0.84725,0.85991,0.50265,1.57255,0.76256,1.2199,0.0075448,0.0075448,0.0075448
126,9091.51,1.2252,0.63959,1.05509,0.82075,0.83333,0.83332,0.47929,1.5736,0.79584,1.21824,0.007525,0.007525,0.007525
127,9163.48,1.21217,0.63369,1.04407,0.8521,0.83522,0.84116,0.48914,1.56759,0.80249,1.20761,0.0075052,0.0075052,0.0075052
128,9234.73,1.21924,0.63178,1.04662,0.86898,0.85281,0.86856,0.49198,1.58551,0.77321,1.2278,0.0074854,0.0074854,0.0074854
129,9307.36,1.21768,0.64006,1.05245,0.84399,0.84427,0.85508,0.48591,1.61004,0.77215,1.23278,0.0074656,0.0074656,0.0074656
130,9379.93,1.21014,0.6252,1.04465,0.83533,0.81962,0.82484,0.47218,1.5962,0.84783,1.22978,0.0074458,0.0074458,0.0074458
131,9452.34,1.21123,0.628,1.04116,0.84951,0.82516,0.83006,0.47418,1.60874,0.83071,1.22645,0.007426,0.007426,0.007426
132,9523.55,1.20211,0.63685,1.04827,0.86221,0.83214,0.85692,0.48614,1.60322,0.78872,1.23443,0.0074062,0.0074062,0.0074062
133,9595.09,1.1998,0.63891,1.04622,0.86617,0.8394,0.86121,0.49761,1.58246,0.77153,1.22062,0.0073864,0.0073864,0.0073864
134,9666.75,1.20739,0.64189,1.05569,0.84091,0.83012,0.84541,0.48997,1.58196,0.79964,1.22653,0.0073666,0.0073666,0.0073666
135,9738.47,1.19587,0.62509,1.03964,0.85514,0.83231,0.84363,0.48559,1.58623,0.79551,1.21671,0.0073468,0.0073468,0.0073468
136,9810.42,1.19654,0.62747,1.04469,0.86653,0.83312,0.86084,0.49773,1.59314,0.7685,1.2239,0.007327,0.007327,0.007327
137,9882.57,1.21148,0.63729,1.04624,0.85609,0.8341,0.84332,0.48553,1.58145,0.80578,1.21362,0.0073072,0.0073072,0.0073072
138,9954.6,1.18976,0.62019,1.04259,0.85413,0.84294,0.85299,0.48938,1.58088,0.77877,1.20943,0.0072874,0.0072874,0.0072874
139,10028.7,1.17667,0.62084,1.03579,0.89269,0.84093,0.86899,0.49343,1.595,0.76478,1.22098,0.0072676,0.0072676,0.0072676
140,10102.3,1.19315,0.61697,1.0375,0.81488,0.81428,0.80865,0.46709,1.5783,0.86151,1.22447,0.0072478,0.0072478,0.0072478
141,10176,1.18826,0.61908,1.0391,0.79809,0.81943,0.78804,0.45599,1.56059,0.90847,1.21404,0.007228,0.007228,0.007228
142,10247.6,1.17772,0.61162,1.03426,0.80892,0.84549,0.82351,0.47191,1.5876,0.84355,1.2206,0.0072082,0.0072082,0.0072082
143,10320.8,1.17701,0.6155,1.03003,0.88,0.8403,0.86069,0.49123,1.58103,0.76828,1.22403,0.0071884,0.0071884,0.0071884
144,10392.9,1.18232,0.61043,1.03701,0.89299,0.84272,0.86981,0.50554,1.56055,0.74206,1.2127,0.0071686,0.0071686,0.0071686
145,10465.1,1.17335,0.61514,1.02763,0.84824,0.84785,0.85086,0.49197,1.56515,0.76728,1.20604,0.0071488,0.0071488,0.0071488
146,10536.5,1.17664,0.60421,1.02681,0.85954,0.83397,0.84249,0.48243,1.58483,0.79643,1.22114,0.007129,0.007129,0.007129
147,10609.3,1.18325,0.61915,1.04006,0.86121,0.82793,0.84574,0.48332,1.58349,0.78966,1.21389,0.0071092,0.0071092,0.0071092
148,10681.5,1.15816,0.60939,1.02483,0.87113,0.85326,0.86322,0.49634,1.58524,0.76215,1.21829,0.0070894,0.0070894,0.0070894
149,10754,1.14697,0.60082,1.02067,0.86907,0.86536,0.87261,0.5012,1.58714,0.73965,1.21678,0.0070696,0.0070696,0.0070696
150,10825.8,1.17807,0.60796,1.03313,0.90735,0.84483,0.87559,0.49647,1.59154,0.7446,1.22407,0.0070498,0.0070498,0.0070498
151,10898.4,1.16661,0.60207,1.02917,0.87294,0.86271,0.87489,0.5062,1.56461,0.71823,1.21731,0.00703,0.00703,0.00703
152,10971.9,1.17169,0.60358,1.0323,0.90745,0.84616,0.87904,0.50565,1.57045,0.7455,1.21662,0.0070102,0.0070102,0.0070102
153,11045.3,1.16449,0.60769,1.02262,0.86272,0.84493,0.8608,0.50534,1.56297,0.75613,1.21689,0.0069904,0.0069904,0.0069904
154,11117.3,1.1592,0.60762,1.0342,0.86396,0.84073,0.86018,0.50235,1.55533,0.76338,1.21514,0.0069706,0.0069706,0.0069706
155,11190.1,1.15473,0.60003,1.03008,0.82779,0.84027,0.82553,0.48521,1.56213,0.80941,1.22152,0.0069508,0.0069508,0.0069508
156,11262.8,1.13775,0.59499,1.02014,0.79218,0.85289,0.81025,0.47605,1.56571,0.87193,1.22491,0.006931,0.006931,0.006931
157,11337.8,1.16421,0.59929,1.02913,0.79225,0.85195,0.80487,0.47248,1.5506,0.85678,1.21211,0.0069112,0.0069112,0.0069112
158,11410.3,1.15476,0.60074,1.02242,0.83919,0.84581,0.83434,0.49271,1.55076,0.77826,1.21374,0.0068914,0.0068914,0.0068914
159,11482.5,1.15378,0.60049,1.01738,0.85194,0.85731,0.85189,0.49504,1.58311,0.75611,1.22364,0.0068716,0.0068716,0.0068716
160,11554.8,1.16002,0.59841,1.02572,0.84965,0.83687,0.84753,0.49312,1.5772,0.77527,1.22136,0.0068518,0.0068518,0.0068518
161,11628.1,1.14614,0.59344,1.01873,0.85663,0.84062,0.8407,0.48966,1.58007,0.79552,1.2267,0.006832,0.006832,0.006832
162,11698.8,1.14319,0.58543,1.01315,0.86413,0.84768,0.85567,0.50167,1.56745,0.77051,1.22322,0.0068122,0.0068122,0.0068122
163,11769.8,1.13359,0.59055,1.0188,0.86038,0.85902,0.85631,0.49315,1.578,0.74596,1.22443,0.0067924,0.0067924,0.0067924
164,11841.4,1.15211,0.58656,1.02183,0.88727,0.84587,0.86315,0.50591,1.55922,0.74341,1.21588,0.0067726,0.0067726,0.0067726
165,11914.3,1.13803,0.60141,1.02622,0.85394,0.83076,0.83712,0.48826,1.56051,0.78916,1.21208,0.0067528,0.0067528,0.0067528
166,11987.2,1.13922,0.58832,1.01458,0.87236,0.85156,0.86484,0.50074,1.56886,0.73788,1.21244,0.006733,0.006733,0.006733
167,12059.4,1.12417,0.58279,1.01624,0.88384,0.85862,0.8651,0.50364,1.55573,0.73312,1.20745,0.0067132,0.0067132,0.0067132
168,12130.9,1.13761,0.58582,1.02453,0.85415,0.84294,0.85923,0.49874,1.56736,0.76093,1.21222,0.0066934,0.0066934,0.0066934
169,12203.3,1.13534,0.58162,1.01962,0.84115,0.85132,0.85334,0.49552,1.57417,0.78007,1.21199,0.0066736,0.0066736,0.0066736
170,12275,1.12099,0.5803,1.01425,0.89626,0.83256,0.87087,0.50511,1.58041,0.74114,1.2162,0.0066538,0.0066538,0.0066538
171,12346.9,1.12034,0.57458,1.01493,0.91257,0.84389,0.87372,0.50599,1.58408,0.72817,1.23233,0.006634,0.006634,0.006634
172,12418.7,1.14111,0.59263,1.01959,0.87288,0.85626,0.86925,0.49816,1.5903,0.75365,1.2257,0.0066142,0.0066142,0.0066142
173,12491.3,1.11956,0.58485,1.01859,0.86006,0.84761,0.86437,0.49793,1.5938,0.75505,1.22717,0.0065944,0.0065944,0.0065944
174,12563.1,1.13024,0.58174,1.0193,0.86144,0.82182,0.84354,0.48584,1.57941,0.79722,1.22209,0.0065746,0.0065746,0.0065746
175,12634.8,1.13129,0.58198,1.01851,0.85993,0.86039,0.85747,0.49814,1.58913,0.76968,1.22666,0.0065548,0.0065548,0.0065548
176,12707.2,1.13481,0.58394,1.01462,0.83996,0.84416,0.83971,0.49131,1.57801,0.80874,1.22013,0.006535,0.006535,0.006535
177,12779.1,1.12017,0.5737,1.01776,0.86928,0.83402,0.85214,0.49628,1.5821,0.78793,1.21965,0.0065152,0.0065152,0.0065152
178,12851.3,1.12001,0.5764,1.01096,0.84773,0.84725,0.85504,0.50358,1.5676,0.7734,1.21386,0.0064954,0.0064954,0.0064954
179,12923.2,1.10415,0.5673,1.01056,0.86151,0.84381,0.85461,0.50024,1.56745,0.75225,1.20859,0.0064756,0.0064756,0.0064756
